Smart TV LED 32" HD HQ Conversor Digital Externo 3 HDMI 2 USB WI-FI Android 11 Design Slim ; R$ 958,50 ;  Data: 30/10/2022 
Smart TV LED 32" HQ HD HQSTV32NP Netflix Youtube 2 HDMI 2 USB Wi-Fi ; R$ 958,50 ;  Data: 30/10/2022 
Smart TV LED 32" HQ HD HQSTV32NP Netflix Youtube 2 HDMI 2 USB Wi-Fi ; R$ 958,50 ;  Data: 30/10/2022 
Smart TV 55” 4K NanoCell LG Quantum Dot QNED 120Hz - AI Processor Wi-Fi Bluetooth HDR Alexa 55QNED80 ; R$ 3.719,07 ;  Data: 30/10/2022 
Smart TV TCL 43 Polegadas LED 4K UHD, Wi-Fi, Bluetooth, 3 HDMI, 1 USB, HDR, Modo de Jogo - 43P615 ; R$ 1.849,99 ;  Data: 30/10/2022 
Smart TV 43” 4K LED TCL 43P635 VA Wi-Fi - Bluetooth HDR Google Assistente 3 HDMI 1 USB ; R$ 1.859,07 ;  Data: 30/10/2022 
Smart TV 43” Crystal 4K Samsung 43AU7700 Wi-Fi - Bluetooth HDR Alexa Built in 3 HDMI 1 USB ; R$ 2.045,07 ;  Data: 30/10/2022 
Smart Tv Lg 32" Led Smart Pro Wi-Fi Hd Hdmi USB Conversor Digital - 32lq621 - Substituta 32lm621 ; R$ 1.179,00 ;  Data: 30/10/2022 
Smart TV Philips 43" LED HD 43PFG6917/78 Dolby Atmos Dolby Digital ; R$ 1.764,94 ;  Data: 30/10/2022 
Smart TV Philco 40" D-LED FHD PTV40G65RCH Bivolt ; R$ 1.775,95 ;  Data: 30/10/2022 
Smart Tv AOC Led 43 Wifi Full Hd Usb Hdmi 43S5195 ; R$ 1.689,80 ;  Data: 30/10/2022 
Smart Tela Toshiba 43 Pol. 43v35kb DLED FHD Smart Vidaa TB008 ; R$ 1.862,01 ;  Data: 30/10/2022 
Smart TV LG 32 LED HD USB HDMI Wi-fi Bluetooth HDR 10 ThinQ Ai Google Assis. Alexa - 32LQ621CBSBAWZ ; R$ 1.269,00 ;  Data: 30/10/2022 
Smart TV LED 43" Full HD, Design sem bordas, comando por voz, Google Assistant e Android TV com Bluetooth Konka KDG43 ; R$ 1.498,50 ;  Data: 30/10/2022 
Smart TV LED 50" Ultra HD 4K LG 50UQ801C0SB Wi-Fi Bluetooth HDR ThinQAI com Smart Magic Google Alexa ; R$ 2.519,10 ;  Data: 30/10/2022 
Smart TV 55” 4K UHD QLED TCL 55C725 VA Wi-Fi - Bluetooth Google Assistente Alexa 3 HDMI 2 USB ; R$ 2.686,77 ;  Data: 30/10/2022 
Smart TV LED 43" Ultra HD 4K LG 43UP751C0SF.BWZ ThinQ AI 2 HDMI 1 USB Wi-Fi Bluetooth ; R$ 2.006,10 ;  Data: 30/10/2022 
Tv 32p Aoc Led Smart Wifi Hd Hdmi 32s5195 ; R$ 1.099,00 ;  Data: 30/10/2022 
Smart Tela Multi Experience 24 polegadas com WiFi integrado - Multilaser ; R$ 791,10 ;  Data: 30/10/2022 
Smart TV LED 50" 4K HQ Conversor Digital Externo 3 HDMI 2 USB WI-FI Android 11 Design Slim ; R$ 1.979,00 ;  Data: 30/10/2022 
Smart TV 55” 4K NanoCell LG Quantum Dot QNED 120Hz - AI Processor Wi-Fi Bluetooth HDR Alexa 55QNED80 ; R$ 3.719,07 ;  Data: 30/10/2022 
Smart TV Samsung 70 Crystal UHD 4K, Painel Conexão Alexa Built-in, Dynamic Crystal Color, Design Slim,Controle Remoto Único - UN70BU8000GXZD ; R$ 4.399,00 ;  Data: 30/10/2022 
Smart TV 43” 4K LED LG 43UQ7500 AI Processor - Wi-Fi Bluetooth HDR Alexa Google Assistente 3 HDMI ; R$ 2.138,07 ;  Data: 30/10/2022 
Smart TV 75” 4K LED LG 75UQ8050 AI Processor - Wi-Fi Bluetooth HDR Alexa Google Assistente 3 HDMI ; R$ 5.486,07 ;  Data: 30/10/2022 
Smart TV 55” Crystal 4K Samsung 55AU7700 - Wi-Fi Bluetooth HDR Alexa Built in 3 HDMI 1 USB ; R$ 2.696,07 ;  Data: 30/10/2022 
Smart TV TCL 50 Polegadas LED 4K UHD, Google TV, 3 HDMI, 1 USB, Wi-Fi, Bluetooth, HDR, Google Assistente - 50P635 ; R$ 2.399,00 ;  Data: 30/10/2022 
Smart Tela Multi Experience 24 polegadas com WiFi integrado - Multilaser ; R$ 791,10 ;  Data: 30/10/2022 
Tv 32p Aoc Led Smart Wifi Hd Hdmi 32s5195 ; R$ 1.099,00 ;  Data: 30/10/2022 
Smart Tv LED 60 Polegadas 60AU7700 UHD Bluetooth Processador Crystal 4K Samsung ; R$ 3.413,34 ;  Data: 30/10/2022 
Smart TV 50” 4K QLED Samsung QN50Q60BAGXZD - Wi-Fi Bluetooth Alexa Google Assistente 3 HDMI ; R$ 2.975,07 ;  Data: 30/10/2022 
Smart TV LG 32" LED HD Wi-Fi 2 HDMI 1 USB 32LQ621CBSB.AWZ ; R$ 1.179,00 ;  Data: 30/10/2022 
Smart TV Samsung 50 Polegadas UHD 4K, 3 HDMI, 1 USB, Processador Crystal 4K, Tela sem limites, Visual Livre de Cabos, Alexa - UN50AU7700GXZD ; R$ 2.515,55 ;  Data: 30/10/2022 
Smart TV 32” HD D-LED Rig Vizzion BR32D1SA - IPS Wi-Fi 2 HDMI 2 USB ; R$ 1.179,00 ;  Data: 30/10/2022 
Smart TV 43” 4K QLED Samsung The Frame VA 120Hz - Wi-Fi Bluetooth Alexa Google QN43LS03BA ; R$ 2.603,07 ;  Data: 30/10/2022 
Smart TV 65” 4K LED LG 65UQ8050 AI Processor - Wi-Fi Bluetooth HDR Alexa Google Assistente 3 HDMI ; R$ 3.719,07 ;  Data: 30/10/2022 
Smart TV 50” 4K LED LG NanoCell 50NANO75 - Wi-Fi Bluetooth HDR Alexa Google Assistente ; R$ 2.936,01 ;  Data: 30/10/2022 
Smart TV 43” UHD 4K LED TCL 43P615 VA 60Hz - Android Wi-Fi Bluetooth HDR 3 HDMI 1 USB ; R$ 1.952,07 ;  Data: 30/10/2022 
Smart TV 50” Crystal 4K Samsung 50AU7700 - Wi-Fi Bluetooth HDR Alexa Built in 3 HDMI 1 USB ; R$ 2.436,60 ;  Data: 30/10/2022 
Smart TV 50" Crystal UHD 4K UN50BU8000GXZD Preto - Samsung ; R$ 2.774,47 ;  Data: 30/10/2022 
Smart TV 55” 4K UHD D-LED Philips 55PUG7406/78 - Android Wi-Fi Bluetooth Google Assistente ; R$ 2.696,07 ;  Data: 30/10/2022 
Smart TV LED 50" UHD 4K, Design sem bordas, comando por voz, Google Assistant e Android TV com Bluetooth Konka KDG50 ; R$ 1.979,00 ;  Data: 30/10/2022 
Smart TV 50” 4K LED LG 50UQ8050 AI Processor - Wi-Fi Bluetooth HDR Alexa Google Assistente 3 HDMI ; R$ 2.455,20 ;  Data: 30/10/2022 
Smart TV 55” 4K LED LG 55UQ8050 AI Processor - Wi-Fi Bluetooth HDR Alexa Google Assistente 3 HDMI ; R$ 2.789,07 ;  Data: 30/10/2022 
Smart TV 50” 4K LED TCL 50P635 VA Wi-Fi - Bluetooth HDR Google Assistente 3 HDMI 1 USB ; R$ 2.231,07 ;  Data: 30/10/2022 
Smart TV LED 50" 4K HQ Conversor Digital Externo 3 HDMI 2 USB WI-FI Android 11 Design Slim ; R$ 1.979,00 ;  Data: 30/10/2022 
Smart Tv Led 32'' Hd Samsung Lh32betblggxzd ; R$ 1.349,90 ;  Data: 30/10/2022 
Smart TV LED 50" HQ HQSTV50NY Ultra HD 4K Netflix Youtube 3 HDMI 2 USB Wi-Fi ; R$ 1.979,00 ;  Data: 30/10/2022 
Smart TV 75” 4K LED TCL 75P735 VA 120Hz Hands - Free Wi-Fi Bluetooth HDR Alexa Google Assistente ; R$ 5.114,07 ;  Data: 30/10/2022 
Smart TV 55” 4K UHD LED TCL 55P725 VA Wi-Fi - Bluetooth Alexa Google Assistente 3 HDMI 2 USB ; R$ 2.510,07 ;  Data: 30/10/2022 
Smart TV Philco 32" Led PTV32G70RCH - Bivolt ; R$ 1.242,63 ;  Data: 30/10/2022 
Smart TV LED 43" Ultra HD 4K LG 43UP751C0SF.BWZ ThinQ AI 2 HDMI 1 USB Wi-Fi Bluetooth ; R$ 2.006,10 ;  Data: 30/10/2022 
Smart Tv 32S615 Led 32 Polegadas Hd Hdr WiFi Android Tcl ; R$ 1.149,00 ;  Data: 30/10/2022 
Smart TV LED 32" HD AOC ROKU TV FHD 32S5195/78G, Wi-Fi, 3 HDMI, 1 USB, Wifi, Conversor Digital ; R$ 1.699,90 ;  Data: 30/10/2022 
Smart TV 65” 4K UHD QLED TCL 65C725 VA Wi-Fi - Bluetooth Google Assistente Alexa 3 HDMI 2 USB ; R$ 3.719,07 ;  Data: 30/10/2022 
Smart TV LG 43 Polegadas 4K 43UQ751C0SF WiFi Bluetooth HDR ThinQAI ; R$ 2.031,42 ;  Data: 30/10/2022 
Smart Tv Led 32 Samsung Hd 2 Hdmi Usb Wifi Lh32betblggxzd ; R$ 1.229,90 ;  Data: 30/10/2022 
Smart TV 50” 4K Neo QLED Samsung Gaming 144Hz - VA Wi-Fi Bluetooth HDR Alexa QN50QN90BA ; R$ 4.649,07 ;  Data: 30/10/2022 
Smart TV Samsung 55 Polegadas 4K QLED, 4 HDMI, 120Hz, Processador IA, HDR10+, Tela Infinita, Design Slim, Alexa Built In - QN55Q70AAGXZD ; R$ 5.766,34 ;  Data: 30/10/2022 
Smart TV Philips 32" LED HD Android TV 32PHG6917/78 Dolby Atmos Dolby Digital ; R$ 1.298,57 ;  Data: 30/10/2022 
Smart TV 50” 4K UHD QLED TCL 50C725 VA Wi-Fi - Bluetooth Google Assistente Alexa 3 HDMI 2 USB ; R$ 2.510,07 ;  Data: 30/10/2022 
Smart TV LG 55 Polegadas LED 4K UHD, 3 HDMI, 2 USB, Wi-Fi, Bluetooth, HDR, NVIDIA GeForce Now, ThinQAI, Smart Magic, Google Alexa - 55UQ8050 ; R$ 2.899,99 ;  Data: 30/10/2022 
Smart TV 32 Full HD 32LQ620 WiFi Bluetooth HDR ThinQAI LG ; R$ 1.274,40 ;  Data: 30/10/2022 
Tv. Aoc 32 Pol Smart Roku Led Hd 32S5195/78G ; R$ 1.400,67 ;  Data: 30/10/2022 
Smart TV 55” 4K LED LG 55UQ801C0SBBWZ AI Processor - Wi-Fi Alexa Google Assistente 3 HDMI 2 USB ; R$ 2.789,07 ;  Data: 30/10/2022 
Smart TV 43” 4K Neo QLED Samsung Gaming 144Hz - VA Wi-Fi Bluetooth HDR Alexa QN43QN90BAGXZD ; R$ 3.533,07 ;  Data: 30/10/2022 
Smart TV LED 32" HD AOC ROKU TV FHD 32S5195/78G, Wi-Fi, 3 HDMI, 1 USB, Wifi, Conversor Digital ; R$ 1.699,90 ;  Data: 30/10/2022 
Smart TV Philco 32'' Led Netflix PTV32G70SBL Bivolt ; R$ 1.331,40 ;  Data: 30/10/2022 
Smart Tv Led 32 Hd Multilaser Tl026 3 Hdmi 2 Usb Wi-Fi ; R$ 1.266,59 ;  Data: 30/10/2022 
Smart TV Samsung 32" The Frame 2022 QLED Tela Matte, Molduras customizáveis, Modo Arte LS03B ; R$ 2.417,39 ;  Data: 30/10/2022 
Tv Philips 55 Polegadas Smart 4K Ambilight Com Comando De Voz ; R$ 3.441,74 ;  Data: 30/10/2022 
Smart TV 75” 8K Neo QLED Samsung QN75QN800B - VA 120Hz Wi-Fi Bluetooth HDR Alexa 4 HDMI 3 USB ; R$ 19.529,07 ;  Data: 30/10/2022 
Smart TV 32” HD LED LG 32LM627BPSB 60Hz - Wi-Fi Bluetooth 2 HDMI 1 USB ; R$ 1.487,07 ;  Data: 30/10/2022 
Smart TV Android LED 43" Ultra HD 4K TCL 43P615 3 HDMI 1 USB Wi-Fi Bluetooth HDR ; R$ 1.888,20 ;  Data: 30/10/2022 
Smart TV Semp LED 43 Full HD Wi-Fi Roku 43R5500 - Semp Toshiba ; R$ 1.699,15 ;  Data: 30/10/2022 
Smart TV 50” 4K D-LED Philips 50PUG7907/78 - 60Hz Android Wi-Fi Bluetooth HDR 4 HDMI 2 USB ; R$ 2.603,07 ;  Data: 30/10/2022 
Smart TV Samsung 60 Polegadas Crystal UHD 4K, 3 HDMI, 2 USB, Wi-Fi, Bluetooth, Alexa, Google Assistante, Tela Infinita - UN60BU8000GXZD ; R$ 3.229,05 ;  Data: 30/10/2022 
Smart TV 75” Crystal 4K Samsung 75AU7700 Wi-Fi - Bluetooth HDR Alexa Built in 3 HDMI 1 USB ; R$ 5.579,07 ;  Data: 30/10/2022 
Smart TV 55" Crystal UHD 4K UN55BU8000GXZD Preto - Samsung ; R$ 2.969,11 ;  Data: 30/10/2022 
Smart TV 65” Crystal 4K Samsung 65AU7700 Wi-Fi - Bluetooth HDR Alexa Built in 3 HDMI 1 USB ; R$ 3.719,07 ;  Data: 30/10/2022 
Smart TV 55” 4K QLED Samsung QN55Q60BAGXZD - Wi-Fi Bluetooth Alexa Google Assistente 3 HDMI ; R$ 3.254,07 ;  Data: 30/10/2022 
Smart TV 65NANO75 65 Polegadas 4K NanoCell HDMI 2.0 2021 LG ; R$ 4.139,10 ;  Data: 30/10/2022 
Smart TV Samsung 32" The Frame 2022 QLED Tela Matte, Molduras customizáveis, Modo Arte LS03B ; R$ 2.417,39 ;  Data: 30/10/2022 
Smart TV TCL 55 Polegadas LED 4K UHD, Google TV, 3 HDMI, 1 USB, Wi-Fi, Bluetooth, HDR, Google Assistente, Preto - 55P635 ; R$ 2.699,99 ;  Data: 30/10/2022 
Smart TV LED 32" HD AOC ROKU TV FHD 32S5195/78G, Wi-Fi, 3 HDMI, 1 USB, Wifi, Conversor Digital ; R$ 1.699,90 ;  Data: 30/10/2022 
Smart TV LED 32" HD Philco Roku PTV32G70RCH 2 HDMI 1 USB Wi-Fi ; R$ 1.214,10 ;  Data: 30/10/2022 
Smart TV 60” 4K Crystal Samsung 60AU7700 Wi-Fi - Bluetooth HDR Alexa Built in 3 HDMI 1 USB ; R$ 3.254,07 ;  Data: 30/10/2022 
Smart TV LED PRO 43'' Full HD LG 43LM 631 3 HDMI 2 USB Wi-fi Conversor Digital ; R$ 1.934,10 ;  Data: 30/10/2022 
Smart TV Philips 65" Preto LED 4K 65PUG7406/78 ; R$ 3.599,10 ;  Data: 30/10/2022 
Smart TV 70” 4K Crystal UHD Samsung UN70BU8000GXZD - VA Wi-Fi Bluetooth Alexa Google Assistente 3 HDMI ; R$ 4.835,07 ;  Data: 30/10/2022 
Tv. Aoc 32 Pol Smart Roku Led Hd 32S5195/78G ; R$ 1.351,99 ;  Data: 30/10/2022 
Smart TV 65” 4K LED TCL 65P735 VA 60Hz Hands - Free Wi-Fi Bluetooth HDR Alexa Google Assistente ; R$ 3.327,54 ;  Data: 30/10/2022 
Smart TV 4K QLED 55” TCL C715 Android - Wi-Fi Bluetooth HDR 3 HDMI 2 USB ; R$ 3.068,07 ;  Data: 30/10/2022 
Smart TV 65”4K Mini LED TCL 65C825 VA 120Hz - Wi-Fi Bluetooth Google Assistente 4 HDMI 2 USB ; R$ 6.230,07 ;  Data: 30/10/2022 
Smart TV 60” 4K Crystal UHD Samsung UN60BU8000 - VA Wi-Fi Bluetooth Alexa Google Asistente 3 HDMI ; R$ 3.719,07 ;  Data: 30/10/2022 
Smart Tela 32 HD Multi Experience HDMI USB Wi-fi integrado - Preto - Multilaser ; R$ 999,00 ;  Data: 30/10/2022 
Smart TV Philips 43 43PFG6825/78 Full HD HDR 3 HDMI 2 USB Wifi ; R$ 1.719,14 ;  Data: 30/10/2022 
Smart TV LG LED 43 Polegadas Full HD WiFi WebOS Quad Core AI ThinQ 43LM6370PSB ; R$ 1.859,00 ;  Data: 30/10/2022 
Smart TV 50” 4K LED LG 50UQ8050 AI Processor - Wi-Fi Bluetooth HDR Alexa Google Assistente 3 HDMI ; R$ 2.455,20 ;  Data: 30/10/2022 
Smart TV LED 32" HD AOC ROKU TV FHD 32S5195/78G, Wi-Fi, 3 HDMI, 1 USB, Wifi, Conversor Digital ; R$ 1.699,90 ;  Data: 30/10/2022 
Smart TV Samsung 55" The Frame 2022 QLED 4K, Tela Matte, Molduras customizáveis, QN55LS03BAGXZD ; R$ 4.351,70 ;  Data: 30/10/2022 
Smart TV 75” Crystal 4K Samsung 75AU7700 Wi-Fi - Bluetooth HDR Alexa Built in 3 HDMI 1 USB ; R$ 5.579,07 ;  Data: 30/10/2022 
Smart TV Samsung 65 Polegadas Crystal UHD 4K, 3 HDMI, 2 USB, Wi-Fi, Bluetooth, Alexa, Google Assistante, Tela Infinita - UN65BU8000GXZD ; R$ 3.979,99 ;  Data: 30/10/2022 
Smart TV 75” 4K Crystal UHD Samsung UN75BU8000 - VA Wi-Fi Bluetooth Alexa Google 3 HDMI ; R$ 5.579,07 ;  Data: 30/10/2022 
Smart TV 70” 4K LED LG 70UQ8050 AI Processor - Wi-Fi Bluetooth HDR Alexa Google Assistente ; R$ 4.556,07 ;  Data: 30/10/2022 
Smart TV 85” 4K Crystal UHD Samsung UN85BU8000 - VA Wi-Fi Bluetooth Alexa Google 3 HDMI 2 USB ; R$ 10.229,07 ;  Data: 30/10/2022 
Smart TV 55” 4K NanoCell LG AI Processor 55NANO75 - Wi-Fi HDR Alexa Google Assistente 3 HDMI 2 USB ; R$ 3.161,07 ;  Data: 30/10/2022 
Smart TV HD LED 32” AOC 32S5195/78G - Wi-Fi 3 HDMI 1 USB ; R$ 1.560,00 ;  Data: 30/10/2022 
Smart TV 55” 4K Neo QLED Samsung QN55QN90BA - VA 120Hz Wi-Fi Bluetooth HDR Alexa 4 HDMI 2 USB ; R$ 5.672,07 ;  Data: 30/10/2022 
Smart TV 43 LG 43LM631C0SB ; R$ 1.952,10 ;  Data: 30/10/2022 
Smart TV 32" LED HD AOC 32S5195 Roku HDMI USB ; R$ 1.399,00 ;  Data: 30/10/2022 
Smart TV 85” Ultra HD 4K QLED Samsung - 85Q70AA Wi-Fi Bluetooth HDR 4 HDMI 2 USB ; R$ 13.949,07 ;  Data: 30/10/2022 
Smart TV Samsung 55 Polegadas 4K QLED, 4 HDMI, 120Hz, Processador IA, HDR10+, Tela Infinita, Alexa Built In - QN55Q80AAGXZD ; R$ 3.849,99 ;  Data: 30/10/2022 
Smart TV 50” 4K UHD QLED TCL 50C725 VA Wi-Fi - Bluetooth Google Assistente Alexa 3 HDMI 2 USB ; R$ 2.510,07 ;  Data: 30/10/2022 
Smart TV 55” UHD 4K OLED LG OLED55A1 - 60Hz Wi-Fi Bluetooth HDR Alexa 3 HDMI 2 USB ; R$ 5.579,07 ;  Data: 30/10/2022 
Smart Tv Philco 32'' Fast Smart Ptv32N5Se10H D-Led Bivolt ; R$ 1.727,15 ;  Data: 30/10/2022 
