Notebook Ultra UB320 Intel Pentium - Quad-Core 4GB 120GB SSD 14,1” HD LCD UB320 ; R$ 1.529,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 A515-45-R760 AMD Ryzen 7 Windows 11 Home 8GB 256GB SSD 15,6' Full HD ; R$ 3.329,10 ;  Data: 14/10/2022 
Notebook Samsung Intel 8GB 256GB SSD Tela 15,6" Windows 11 ; R$ 2.799,00 ;  Data: 14/10/2022 
Notebook Compaq Presario Intel Core i3 8GB - 240GB SSD 14,1” HD Linux 439 ; R$ 1.889,10 ;  Data: 14/10/2022 
Notebook Samsung Book Intel Core i3 4GB - 256GB SSD 15,6” Full HD Windows 11 NP550XDA-KV3BR ; R$ 2.294,10 ;  Data: 14/10/2022 
Notebook Samsung Chromebook 11.6 Intel Celeron N4020 32GB eMMC 4GB Chrome OS ; R$ 1.699,20 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6' Full HD IPS 144Hz, Win11 - AN515-44-R4KA ; R$ 5.299,99 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 Intel Core i5 11a Geração 1135G7 4.20Ghz 8GB DDR4 Gráficos Intel Iris X 512GB SSD NVMe 15.6" Full HD Windows 11 A515-56-57LB ; R$ 3.561,50 ;  Data: 14/10/2022 
Notebook Lenovo Ideapad 3 Intel Core i3 4GB - 256GB SSD 15,6” Windows 11 82BS000JBR ; R$ 2.249,10 ;  Data: 14/10/2022 
Notebook Dell Inspiron 15 3000 a0500-MM10S 15.6" FHD AMD Ryzen 5 8GB 256GB SSD Windows 11 Prata ; R$ 3.347,10 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 Intel Core i5 8GB - 512GB SSD 15,6” Full HD IPS NVidia GTX 1650 4GB ; R$ 4.409,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 A514-54-52TY Intel Core i5 11ª Gen Windows 11 Home 8GB 256GB SDD 14' Full HD ; R$ 3.059,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 A515-54-57CS Intel Core i5 10ª Gen Windows 11 Home 8GB 256GB SDD 15.6' FHD ; R$ 3.239,10 ;  Data: 14/10/2022 
Notebook Gamer Dell G15-i1200-M10P 15.6" FHD 12ª Geração Intel Core i5 8GB 256GB SSD NVIDIA RTX 3050 Windows 11 ; R$ 5.300,10 ;  Data: 14/10/2022 
Notebook Positivo Intel Atom Quad Core 4GB 64GB eMMC Tela 14” Windows 10 Motion Q464C-O ; R$ 1.249,49 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 AN517-52-50RS Intel Core i5 Windows 11 Home 8GB 512GB SSD GTX 1650 17.3' ; R$ 4.499,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 Intel Core i7-10510U, 8GB RAM, 512GB SSD NVMe, Tela 15.6 IPS Full HD, Windows 11 Home, Prata - A515-54-74F9 ; R$ 3.999,99 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 Intel Core i5 8GB - 512GB SSD 15,6” Full HD IPS NVidia GTX 3050 4GB ; R$ 5.399,10 ;  Data: 14/10/2022 
