Placa de Vídeo Asus Dual NVIDIA Geforce RTX 3060 TI 8G Mini V2, RGB, 8GB GDDR6, LHR, DLSS, Ray Tracing - 90YV0FT3-M0NA00 ; R$ 3.699,99 ;  Data: 04/10/2022 
Placa De Video Gainward Geforce RTX3050 Ghost 8GB GDDR6 NE63050019P1-190AB ; R$ 2.269,00 ;  Data: 04/10/2022 
Placa de Vídeo ASRock AMD Radeon RX 6900 XT Graphics, 16GB GDDR6, PCI Express 4.0, 16 Gbps, Hardware Ray Tracing - RX6900XT PGD 16GO ; R$ 5.399,99 ;  Data: 04/10/2022 
Placa de video nvidia geforce gt 610 ddr3 2gb 64bit single fan - low profile - pa610gt6402d3lp - PCYES ; R$ 339,90 ;  Data: 04/10/2022 
Placa De Vídeo Pc Geforce Gt710 2Gb Ddr3 64Bits Nvidia Hdmi - Spread ; R$ 377,91 ;  Data: 04/10/2022 
Placa de Vídeo ASRock AMD Radeon RX 6700 XT Challenger D, 12GB GDDR6, Ray Tracing - 90-GA2KZZ-00UANH ; R$ 2.999,99 ;  Data: 04/10/2022 
Placa de Vídeo Galax NVIDIA GeForce GTX 1660 1-Click OC, 6GB, GDDR5 - 60SRH7DSY91C ; R$ 1.539,99 ;  Data: 04/10/2022 
Placa de Video Colorful GeForce GT 1030 2GB GDDR4 64bit V5-V ; R$ 532,53 ;  Data: 04/10/2022 
Placa de Vídeo Asus GeForce RTX 3060 12GB - GDDR6 192 bits DUAL-RTX3060-O12G ; R$ 6.299,10 ;  Data: 04/10/2022 
Cpu pc gamer i5 16gb ssd 240gb + hd 1tb placa de video fonte 500w - ALLETECH ; R$ 2.782,93 ;  Data: 04/10/2022 
Placa de Vídeo Galax NVIDIA GeForce RTX 3060 Ti 1-Click OC, 8GB, GDDR6, LHR, DLSS, Ray Tracing, Preto - 36ISL6MD1VQW ; R$ 2.999,99 ;  Data: 04/10/2022 
Placa de video Nvidia 1GB KP-GT210 DDR3 HDMI Geforce - K-NUP ; R$ 222,03 ;  Data: 04/10/2022 
Placa de Vídeo Afox GeForce GT1030 2GB - GDDR5 64 bits ; R$ 566,10 ;  Data: 04/10/2022 
Placa De Vídeo Galax Nvidia Geforce Gtx 1650 Ex (1-Click Oc), 4gb, Gddr6 - 65sql8ds66e6 ; R$ 1.839,00 ;  Data: 04/10/2022 
Placa De Vídeo Amd Afox Radeon R5 Series R5 220 Afr5220-2048d3l9-v2 2gb ; R$ 279,90 ;  Data: 04/10/2022 
Placa de Vídeo Galax NVIDIA GeForce RTX 3070 1-Click OC, 8GB GDDR6, DLSS, LHR, Ray Tracing, Preto - 37NSL6MD2KCH ; R$ 3.899,99 ;  Data: 04/10/2022 
Placa de Vídeo XFX Speedster SWFT 210 AMD Radeon RX 6600 Core Gaming Graphics Card, 8GB GDDR6, AMD RDNA 2 - RX-66XL8LFDQ ; R$ 1.999,99 ;  Data: 04/10/2022 
Placa de Vídeo Afox Geforce GT610 2GB DDR3 - AF610-2048D3L5 ; R$ 349,90 ;  Data: 04/10/2022 
Placa De Vídeo Galax Nvidia Geforce Gtx 1660 1-Click Oc, 6gb, Gddr5 - 60srh7dsy91c ; R$ 1.999,00 ;  Data: 04/10/2022 
Placa de Vídeo Palit GeForce GTX 1050 Ti - 4GB GDDR5 128 bits ; R$ 2.069,10 ;  Data: 04/10/2022 
Notebook Lenovo IdeaPad 3i i7-1165G7 8GB 256GB SSD Placa de Vídeo Intel Iris Xe Linux 15.6" ; R$ 3.783,12 ;  Data: 04/10/2022 
Placa de Vídeo XFX Speedster SWFT210 AMD Radeon RX 6600 XT, 8GB GDDR6, 16Gbps, AMD RDNA 2 Architecture - RX-66XT8DFDQ ; R$ 2.499,99 ;  Data: 04/10/2022 
Placa de Vídeo Asus GeForce GTX 1050 TI - 4GB GDDR5 128 bits Cerberus ; R$ 2.114,10 ;  Data: 04/10/2022 
Placa de Vídeo Asus GeForce GTX 1650 Super - 4GB GDDR6 128 bits Phoenix PH-GTX1650S-O4G ; R$ 2.753,10 ;  Data: 04/10/2022 
Placa de Vídeo EVGA NVIDIA GeForce RTX 3050 XC Gaming, 8GB GDDR6, LHR, DLSS, Ray Tracing - 08G-P5-3553-KR ; R$ 1.999,99 ;  Data: 04/10/2022 
Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Ventus 3X 12G OC, 12GB GDDR6, DLSS, Ray Tracing - 3060 VENTUS 3X 12G OC ; R$ 2.799,99 ;  Data: 04/10/2022 
Placa de Vídeo Power Color Radeon RX 580 8GB - GDDR5 256 bits Red Devil AXRX580 8GBD5-3DH/OC ; R$ 4.949,10 ;  Data: 04/10/2022 
Placa de Vídeo Asus NVIDIA GeForce GT1030 - 2GB GDDR5 64 bits ; R$ 1.079,10 ;  Data: 04/10/2022 
Suporte Placa De Vídeo Rgb Apoio Ajustável Altura Gpu Gamer - ALLSUPORTES3D ; R$ 14,87 ;  Data: 04/10/2022 
Placa de Vídeo Afox Radeon RX 550 4GB - GDDR5 128 bits AFRX550-4096D5H4-V4 ; R$ 1.002,27 ;  Data: 04/10/2022 
Placa de Vídeo Galax Geforce RTX 3050 EX 1-Click OC LHR 8GB GDDR6 128 Bits - 35NSL8MD6YEX ; R$ 3.889,00 ;  Data: 04/10/2022 
Placa de Vídeo EVGA NVIDIA GeForce RTX 3050 XC Gaming, 8GB GDDR6, LHR, DLSS, Ray Tracing - 08G-P5-3553-KR ; R$ 1.999,99 ;  Data: 04/10/2022 
Placa de vídeo Nvidia Geforce GTX 1650 4GB GDDR6 GTX1650-4GD6 Snake - AFOX ; R$ 1.199,00 ;  Data: 04/10/2022 
Placa de Video Colorful GeForce GT 710 1GB GDDR3 64bit ; R$ 338,53 ;  Data: 04/10/2022 
Placa de Vídeo Galax NVIDIA GeForce GTX 1660 TI 1 Click OC 6GB GDDR6 192 Bits DP/HDMI/DVI 60IRL7DSY91C ; R$ 1.990,90 ;  Data: 04/10/2022 
Placa de Vídeo Asus GeForce RTX 3060 12GB - GDDR6 192 bits DUAL-RTX3060-12G ; R$ 16.919,10 ;  Data: 04/10/2022 
Placa de Video PCYES Radeon RX 550 4GB GDDR5 GRAFFITI 128 Bits PJRX550DR5128B ; R$ 1.244,83 ;  Data: 04/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3080 Ti Gaming, 12GB GDDR6X, RGB, DLSS, Ray Tracing - GV-N308TGAMING OC-12GD ; R$ 7.599,99 ;  Data: 04/10/2022 
Placa de Vídeo Power Color Radeon RX 580 8GB - GDDR5 256 bits Red Dragon ; R$ 6.407,10 ;  Data: 04/10/2022 
Placa de Vídeo Afox NVIDIA GeForce GT710 - 2GB DDR3 64 bits AF710-2048D3L7 ; R$ 278,10 ;  Data: 04/10/2022 
Placa de Video Colorful GeForce GT 710 2GB GDDR3 64bit ; R$ 387,03 ;  Data: 04/10/2022 
Placa de Vídeo RTX 3060 12gb Ghost OC Gainward 192Bit GDDR6 ; R$ 3.041,10 ;  Data: 04/10/2022 
Placa De Video Pci-e 8gb Gddr6 Galax Rtx 3070 Ti ; R$ 5.430,87 ;  Data: 04/10/2022 
Placa de Vídeo Zotac NVIDIA GeForce RTX 3080 Trinity, 10GB GDDR6X, 19 Gbps, LHR, Ray Tracing, DLSS, RGB - ZT-A30800D-10PLHR ; R$ 5.599,99 ;  Data: 04/10/2022 
