Placa de Vídeo Palit nvidia GeForce rtx 3050 Dual, 8GB, GDDR6, lhr, 128 Bits, hdmi/dp - NE63050019P1-190AD ; R$ 2.844,33 ;  Data: 05-10-2022
Placa de Video Colorful GeForce rtx 2060 Super nb V2-V 8GB GDDR6 256bit ; R$ 2.599,00 ;  Data: 05-10-2022
Placa de Vídeo Colorful Geforce gt 1030 4gb Ddr4 hdmi/vga ; R$ 957,90 ;  Data: 05-10-2022
Placa de Vídeo amd Radeon 2Gb Ddr5 Pci 3.0 200 Series R7 240 Dex PV-04A ; R$ 729,90 ;  Data: 05-10-2022
Placa de Vídeo nvidia Afox GeForce gt 610 1GB DDR3 64Bits ; R$ 250,00 ;  Data: 05-10-2022
Placa De Vídeo Galax Geforce Rtx 2060 Super 8gb GDDR6 256-bit ; R$ 2.614,50 ;  Data: 05-10-2022
Placa De Video Nvidea Geforce Gt 730 Ddr5 4gb 64bits Pc Yes ; R$ 853,90 ;  Data: 05-10-2022
Placa De Video ColorFul G-C1030 V5 GT1030 2gb Ddr4 hdmi/vga ; R$ 790,90 ;  Data: 05-10-2022
Placa De Video Gainward Geforce RTX3050 Ghost 8GB GDDR6 NE63050019P1-190AB ; R$ 2.549,00 ;  Data: 05-10-2022
Placa De Video Afox Geforce Gt730, 4gb, DDR3, 128-Bit, Af730-4096d3l6 ; R$ 600,01 ;  Data: 05-10-2022
Placa De Video Geforce Gt 740 Ddr 5 4 Gb 128 Bits Pcyes ; R$ 1.087,90 ;  Data: 05-10-2022
Placa De Vídeo Palit nvidia GeForce gtx 1650 gp, 4GB, GDDR6, 128 Bits, hdmi/dp - NE6165001BG1-1175A ; R$ 1.777,67 ;  Data: 05-10-2022
Placa De Vídeo Afox, Geforce Gtx 750 Ti, 4gb, Ddr5, 128bit, Af750ti-4096d5h1 ; R$ 1.317,50 ;  Data: 05-10-2022
Placa De Video Msi Rtx 2060 Ventus Gp 6g Ddr6 194 Bits Hdmi/3x Displayport ; R$ 3.299,00 ;  Data: 05-10-2022
Placa De Vídeo Gigabyte Geforce gtx 1050TI 4GB DDR5 128Bits ; R$ 2.199,00 ;  Data: 05-10-2022
Placa de Vídeo Asus nvidia GeForce rtx 3090 24GB GDDR6X ROG-STRIX-RTX3090-O24G-GAMING ; R$ 35.000,00 ;  Data: 05-10-2022
Placa de Video 1GB GT210 Ddr2 64bit Vga/Hdmi/Dvi Low Profile GL-GT210-1D2 Goline ; R$ 450,03 ;  Data: 05-10-2022
